Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Students,European Semester,Average Numeric Grade
2023,Fall,2023-fa,DANC,100,Intro to Contemporary Dance,LAB,0,19,3,3,0,0,0,0,1,0,0,0,3,0,"Allen, Betty J",29,WiSe,1.596551724137931
2023,Fall,2023-fa,DANC,100,Intro to Contemporary Dance,ONL,0,16,2,3,1,1,0,0,0,0,0,0,0,0,"Owens, Nikolas C",23,WiSe,1.2173913043478262
2023,Fall,2023-fa,DANC,100,Intro to Contemporary Dance,ONL,1,15,5,0,1,0,0,0,0,0,1,0,1,0,"Condon, Elizabeth G",24,WiSe,1.3958333333333333
2023,Fall,2023-fa,DANC,100,Intro to Contemporary Dance,ONL,0,18,3,0,1,0,0,0,2,1,0,0,0,0,"Segale, Magdalyn L",25,WiSe,1.368
2023,Fall,2023-fa,DANC,100,Intro to Contemporary Dance,ONL,17,5,1,1,1,0,0,0,0,0,0,0,0,0,"Gonzalez, Gabriel B",25,WiSe,1.08
2023,Fall,2023-fa,DANC,100,Intro to Contemporary Dance,ONL,2,18,3,0,0,0,0,0,0,0,0,0,1,0,"Brandano, Juliana",24,WiSe,1.2041666666666666
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,3,14,7,7,1,2,2,2,1,0,2,1,0,0,"Cueva Chavez, Ronald A",42,WiSe,1.7047619047619047
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,13,7,8,3,4,1,2,0,1,2,1,0,0,0,"Cueva Chavez, Ronald A",42,WiSe,1.5690476190476188
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,8,7,5,5,5,3,2,2,1,4,0,0,0,0,"Han, Yuqing",42,WiSe,1.8190476190476188
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,6,6,4,5,6,1,2,4,2,1,1,0,1,0,"Han, Yuqing",39,WiSe,1.9666666666666668
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,3,10,8,7,1,5,1,3,1,1,0,1,0,0,"Ambardar, Shivangi",41,WiSe,1.751219512195122
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,5,8,6,4,4,2,5,2,1,0,0,2,2,0,"Ambardar, Shivangi",41,WiSe,1.9902439024390242
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,6,11,8,6,3,0,3,1,2,0,0,0,1,1,"Tang, Chenxi",41,WiSe,1.6170731707317072
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,14,10,6,3,2,2,1,2,1,0,0,0,1,0,"Tang, Chenxi",42,WiSe,1.4880952380952381
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,8,8,4,3,2,1,2,3,3,2,0,2,3,0,"Tang, Chenxi",41,WiSe,2.14390243902439
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,7,13,5,5,5,0,2,2,0,0,0,0,2,1,"Tang, Chenxi",41,WiSe,1.6195121951219513
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,10,8,3,5,2,3,4,2,1,0,1,0,2,0,"Han, Yuqing",41,WiSe,1.8390243902439023
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,8,7,4,2,3,2,2,4,0,3,2,2,2,0,"Han, Yuqing",41,WiSe,2.1780487804878046
